GHCN_ID,NAME,LATITUDE,LONGITUDE,ELEVATION,ISO_CODE
INM00042603,BERHAMPORE,24.133,88.267,19.0,IN
INM00043207,PARANGIPETTAI,11.5,79.767,3.0,IN
INM00042976,PARADIP (C.W.R.),20.3,86.683,8.0,IN
INM00042187,MORADABAD,28.833,78.75,202.0,IN
INM00043341,VALPARAI,10.283,77.0,1041.0,IN
INM00042577,SIDHI,24.417,81.867,272.0,IN
INM00043011,BIR,19.0,75.717,519.0,IN
INM00042408,RANGIA,26.433,91.617,60.0,IN
INM00042546,CHITTORGARH,24.883,74.633,404.0,IN
INI0000VIHR,HISAR,29.179,75.755,213.4,IN
INI0000VAGD,GONDIA ARPT/BIRSI,21.524,80.288,300.8,IN
INM00042387,MUZAFFARPUR,26.117,85.4,53.0,IN
INI0000VICX,KANPUR CHAKERI,26.404,80.41,123.4,IN
INM00043335,PALAKKAD,10.767,76.65,97.0,IN
INM00042969,ANGUL,20.833,85.1,139.0,IN
INM00043169,RAICHUR,16.2,77.35,400.0,IN
INM00042830,PORBANDAR,21.65,69.667,5.0,IN
